Year;all_Total;all_Male;all_Female;white_Total;white_Male;white_Female;whiteAlone_Total;whiteAlone_Male;whiteAlone_Female;black_Total;black_Male;black_Female;asian_Total;asian_Male;asian_Female;hispanic_Total;hispanic_Male;hispanic_Female;whiteCombi_Total;whiteCombi_Male;whiteCombi_Female;notWhiteCombi_Total;notWhiteCombi_Male;notWhiteCombi_Female;blackCombi_Total;blackCombi_Male;blackCombi_Female;asianCombi_Total;asianCombi_Male;asianCombi_Female
1986;19,4;23,2;16,1;20,1;24,1;16,4;N;N;N;10,9;11,2;10,7;N;N;N;8,4;9,5;7,4;N;N;N;N;N;N;N;N;N;N;N;N
1985;19,4;23,1;16,0;20,0;24,0;16,3;N;N;N;11,1;11,2;11,0;N;N;N;8,5;9,7;7,3;N;N;N;N;N;N;N;N;N;N;N;N
1984;19,1;22,9;15,7;19,8;23,9;16,0;N;N;N;10,4;10,4;10,4;N;N;N;8,2;9,5;7,0;N;N;N;N;N;N;N;N;N;N;N;N
1983;18,8;23,0;15,1;19,5;24,0;15,4;N;N;N;9,5;10,0;9,2;N;N;N;7,9;9,2;6,8;N;N;N;N;N;N;N;N;N;N;N;N
1982;17,7;21,9;14,0;18,5;23,0;14,4;N;N;N;8,8;9,1;8,5;N;N;N;7,8;9,6;6,2;N;N;N;N;N;N;N;N;N;N;N;N
1981;17,1;21,1;13,4;17,8;22,2;13,8;N;N;N;8,2;8,2;8,2;N;N;N;7,7;9,7;5,9;N;N;N;N;N;N;N;N;N;N;N;N
1980;17,0;20,9;13,6;17,8;22,1;14,0;N;N;N;7,9;7,7;8,1;N;N;N;7,9;9,7;6,2;N;N;N;N;N;N;N;N;N;N;N;N
1979;16,4;20,4;12,9;17,2;21,4;13,3;N;N;N;7,9;8,3;7,5;N;N;N;6,7;8,2;5,3;N;N;N;N;N;N;N;N;N;N;N;N
1978;15,7;19,7;12,2;16,4;20,7;12,6;N;N;N;7,2;7,3;7,1;N;N;N;7,0;8,6;5,7;N;N;N;N;N;N;N;N;N;N;N;N
1977;15,4;19,2;12,0;16,1;20,2;12,4;N;N;N;7,2;7,0;7,4;N;N;N;6,2;8,1;4,4;N;N;N;N;N;N;N;N;N;N;N;N
1976;14,7;18,6;11,3;15,4;19,6;11,6;N;N;N;6,6;6,3;6,8;N;N;N;6,1;8,6;4,0;N;N;N;N;N;N;N;N;N;N;N;N
1975;13,9;17,6;10,6;14,5;18,4;11,0;N;N;N;6,4;6,7;6,2;N;N;N;6,3;8,3;4,6;N;N;N;N;N;N;N;N;N;N;N;N
1974;13,3;16,9;10,1;14,0;17,7;10,6;N;N;N;5,5;5,7;5,3;N;N;N;5,5;7,1;4,0;N;N;N;N;N;N;N;N;N;N;N;N
1973;12,6;16,0;9,6;13,1;16,8;9,9;N;N;N;6,0;5,9;6,0;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
